procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
88  0   5396 1082736 340528 3519144    0    0     0   180 2696 3572 88 12  0  0  0
85  0   5396 1094380 340536 3519276    0    0     0   262 2529 3687 89 11  0  0  0
78  0   5396 1191920 340544 3519196    0    0     0   174 2571 3851 88 12  0  0  0
82  0   5396 1102992 340552 3519908    0    0     0   279 2420 3542 89 11  0  0  0
82  0   5396 1364708 340560 3519332    0    0     0   152 2549 3844 89 11  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
87  0   5396 1282332 340576 3519532    0    0     0   239 2475 3712 89 11  0  0  0
88  0   5396 1188196 340584 3519360    0    0     0   256 2467 3576 89 11  0  0  0
86  0   5396 1043024 340592 3519448    0    0     0   241 2560 3714 89 11  0  0  0
87  0   5396 1176288 340600 3519528    0    0     0   178 2513 3591 89 11  0  0  0
82  0   5396 1083540 340608 3520740    0    0   163   310 2594 3763 89 11  0  0  0
87  0   5396 1170432 340612 3520352    0    0     0   188 2448 3587 89 11  0  0  0
87  0   5396 1264620 340620 3520220    0    0     0   221 2546 3739 88 12  0  0  0
84  0   5396 1011308 340628 3521012    0    0     0   235 2429 3471 89 11  0  0  0
87  0   5396 1255312 340636 3520568    0    0     0   263 3128 3780 88 12  0  0  0
83  0   5396 1059408 340644 3520356    0    0     0   170 2524 3652 89 11  0  0  0
87  0   5396 1007736 340652 3520536    0    0     0   190 2586 3630 89 11  0  0  0
88  0   5396 1290156 340660 3520492    0    0     0   182 2564 3660 89 11  0  0  0
87  0   5396 1116596 340668 3520936    0    0     0   303 2486 3653 89 11  0  0  0
88  0   5396 1121260 340676 3520856    0    0     0   182 2438 3623 89 11  0  0  0
83  0   5396 1133084 340684 3520548    0    0     0   136 2564 3765 89 11  0  0  0
79  0   5396 1103172 340692 3520688    0    0     0   283 2608 3679 89 11  0  0  0
86  0   5396 1094140 340700 3520904    0    0     0   181 2547 3789 88 12  0  0  0
80  0   5396 1163388 340708 3520824    0    0     0   310 2491 3560 90 10  0  0  0
82  0   5396 1197148 340716 3520876    0    0     0   218 2603 3793 88 12  0  0  0
86  0   5396 1094448 340724 3520972    0    0     0   265 2543 3644 89 11  0  0  0
84  0   5396 1268828 340732 3521148    0    0     0   176 2568 3710 89 11  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
90  0   5396 1018872 340740 3521124    0    0     0   239 2810 3546 89 12  0  0  0
88  0   5396 1023104 340748 3521108    0    0     0   215 2613 3672 89 11  0  0  0
81  0   5396 1387728 340756 3521112    0    0     0   221 2526 3763 89 11  0  0  0
88  0   5396 1008748 340764 3521240    0    0     0   172 2440 3595 89 11  0  0  0
80  0   5396 1321876 340772 3521388    0    0     0   276 2511 3694 88 12  0  0  0
88  0   5396 839288 340780 3521048    0    0     0   162 2568 3671 89 11  0  0  0
88  0   5396 1414500 340788 3521676    0    0     0   329 2515 3751 88 12  0  0  0
91  0   5396 1064412 340936 3521116    0    0    26   280 2573 3788 88 12  0  0  0
87  0   5396 1072552 340944 3521748    0    0     0   157 2401 3470 89 11  0  0  0
86  0   5396 1102540 340948 3521412    0    0     0   296 2565 3841 88 12  0  0  0
83  0   5396 1100012 340956 3521412    0    0     0   210 2455 3519 89 11  0  0  0
78  0   5396 1509304 340964 3521620    0    0     0   283 2563 3810 88 12  0  0  0
73  0   5396 1330588 340968 3521564    0    0     1   177 2480 3587 89 11  0  0  0
62  0   5396 1631452 340976 3521288    0    0     0   293 2513 3671 89 11  0  0  0
39  0   5396 1960872 340984 3520640    0    0     0   163 3649 3458 88 12  0  0  0
